country;adjektiv;nationalityM;nationalityF
Nigeria;nigerianisch;Nigerianer;Nigerianerin
Niue;niueanisch;Niueaner;Niueanerin
Nordmazedonien;---;---;---
Norwegen;norwegisch;Norweger;Norwegerin
Oman;omanisch;Omaner;Omanerin
Österreich;österreichisch;Österreicher;Österreicherin
Pakistan;pakistanisch;Pakistaner;Pakistanerin
Palau;palauisch;Palauer;Palauerin
Panama;panamaisch;Panamaer;Panamaerin
Papua-Neuguinea;papua-neuguineisch;Papua-Neuguineer;Papua-Neuguineerin
Paraguay;paraguayisch;Paraguayer;Paraguayerin
Peru;peruanisch;Peruaner;Peruanerin
Philippinen;philippinisch;Philippiner;Philippinerin
Polen;polnisch;Pole;Polin
Portugal;portugiesisch;Portugiese;Portugiesin
Ruanda;ruandisch;Ruander;Ruanderin
Rumänien;rumänisch;Rumäne;Rumänin
Russische Föderation;russisch;---;---
Salomonen;salomonisch;Salomoner;Salomonerin
Sambia;sambisch;Sambier;Sambierin
Samoa;samoanisch;Samoaner;Samoanerin
San Marino;san;San;San
São Tomé und Príncipe;são;São;São
Saudi-Arabien;saudi;Saudi;Saudi
Schweden;schwedisch;Schwede;Schwedin
Schweiz;schweizerisch;Schweizer;Schweizerin
Senegal;senegalesisch;Senegalese;Senegalesin
Serbien ;serbisch;Serbe;Serbin
Seychellen;seychellisch;Seycheller;Seychellerin
Sierra Leone;sierra;Sierra;Sierra
Simbabwe;simbabwisch;Simbabwer;Simbabwerin
Singapur;singapurisch;Singapurer;Singapurerin
Slowakei;slowakisch;Slowake;Slowakin
Slowenien;slowenisch;Slowene;Slowenin
Somalia;somalisch;Somalier;Somalierin
Spanien;spanisch;Spanier;Spanierin
Sri Lanka;sri;Sri;Sri
St. Kitts und Nevis;---;---;---
St. Lucia;lucianisch;Lucianer;Lucianerin
St. Vincent und die Grenadinen;vincentisch;Vincenter;Vincenterin
Südafrika;südafrikanisch;Südafrikaner;Südafrikanerin
Sudan;sudanesisch;Sudanese;Sudanesin
Südsudan;südsudanesisch;Südsudanese;Südsudanesin
Suriname;surinamisch;Surinamer;Surinamerin
Syrien, Arabische Republik;syrisch;Syrer;Syrerin
Tadschikistan;tadschikisch;Tadschike;Tadschikin
Tansania, Vereinigte Republik;tansanisch;Tansanier;Tansanierin
Thailand;thailändisch;Thailänder;Thailänderin
Timor-Leste;---;---;---
Togo;togoisch;Togoer;Togoerin
Tonga;tongaisch;Tongaer;Tongaerin
Trinidad und Tobago;---;---;---
Tschad;tschadisch;Tschader;Tschaderin
Tschechien;tschechisch;Tscheche;Tschechin
Tunesien;tunesisch;Tunesier;Tunesierin
Türkei;türkisch;Türke;Türkin
Turkmenistan;turkmenisch;Turkmene;Turkmenin
Tuvalu;tuvaluisch;Tuvaluer;Tuvaluerin
Uganda;ugandisch;Ugander;Uganderin
Ukraine;ukrainisch;Ukrainer;Ukrainerin
Ungarn;ungarisch;Ungar;Ungarin
Uruguay;uruguayisch;Uruguayer;Uruguayerin
Usbekistan;usbekisch;Usbeke;Usbekin
Vanuatu;vanuatuisch;Vanuatuer;Vanuatuerin
Vatikanstadt;vatikanisch;---;---
Venezuela, Bolivarische Republik;venezolanisch;Venezolaner;Venezolanerin
Vereinigte Arabische Emirate;---;---;---
Vereinigte Staaten;der Vereinigten Staaten (von Amerika) /amerikanisch;der Vereinigten Staaten (von Amerika) / Amerikaner;Amerikanerin
Vereinigtes Königreich;britisch;Brite;Britin
Vietnam;vietnamesisch;Vietnamese;Vietnamesin
Weißrussland;weißrussisch;Weißrusse;Weißrussin
Zentralafrikanische Republik;zentralafrikanisch;Zentralafrikaner;Zentralafrikanerin
Zypern;zyprisch;Zyprer;Zyprerin
